"1800","1800-1804"
"1801","1800-1804"
"1802","1800-1804"
"1803","1800-1804"
"1804","1800-1804"
"1805","1805-1809"
"1806","1805-1809"
"1807","1805-1809"
"1808","1805-1809"
"1809","1805-1809"
"1810","1810-1814"
"1811","1810-1814"
"1812","1810-1814"
"1813","1810-1814"
"1814","1810-1814"
"1815","1815-1819"
"1816","1815-1819"
"1817","1815-1819"
"1818","1815-1819"
"1819","1815-1819"
"1820","1820-1824"
"1821","1820-1824"
"1822","1820-1824"
"1823","1820-1824"
"1824","1820-1824"
"1825","1825-1829"
"1826","1825-1829"
"1827","1825-1829"
"1828","1825-1829"
"1829","1825-1829"
"1830","1830-1834"
"1831","1830-1834"
"1832","1830-1834"
"1833","1830-1834"
"1834","1830-1834"
"1835","1835-1839"
"1836","1835-1839"
"1837","1835-1839"
"1838","1835-1839"
"1839","1835-1839"
"1840","1840-1844"
"1841","1840-1844"
"1842","1840-1844"
"1843","1840-1844"
"1844","1840-1844"
"1845","1845-1849"
"1846","1845-1849"
"1847","1845-1849"
"1848","1845-1849"
"1849","1845-1849"
"1850","1850-1854"
"1851","1850-1854"
"1852","1850-1854"
"1853","1850-1854"
"1854","1850-1854"
"1855","1855-1859"
"1856","1855-1859"
"1857","1855-1859"
"1858","1855-1859"
"1859","1855-1859"
"1860","1860-1864"
"1861","1860-1864"
"1862","1860-1864"
"1863","1860-1864"
"1864","1860-1864"
"1865","1865-1869"
"1866","1865-1869"
"1867","1865-1869"
"1868","1865-1869"
"1869","1865-1869"
"1870","1870-1874"
"1871","1870-1874"
"1872","1870-1874"
"1873","1870-1874"
"1874","1870-1874"
"1875","1875-1879"
"1876","1875-1879"
"1877","1875-1879"
"1878","1875-1879"
"1879","1875-1879"
"1880","1880-1884"
"1881","1880-1884"
"1882","1880-1884"
"1883","1880-1884"
"1884","1880-1884"
"1885","1885-1889"
"1886","1885-1889"
"1887","1885-1889"
"1888","1885-1889"
"1889","1885-1889"
"1890","1890-1894"
"1891","1890-1894"
"1892","1890-1894"
"1893","1890-1894"
"1894","1890-1894"
"1895","1895-1899"
"1896","1895-1899"
"1897","1895-1899"
"1898","1895-1899"
"1899","1895-1899"
"1900","1900-1904"
"1901","1900-1904"
"1902","1900-1904"
"1903","1900-1904"
"1904","1900-1904"
"1905","1905-1909"
"1906","1905-1909"
"1907","1905-1909"
"1908","1905-1909"
"1909","1905-1909"
"1910","1910-1914"
"1911","1910-1914"
"1912","1910-1914"
"1913","1910-1914"
"1914","1910-1914"
"1915","1915-1919"
"1916","1915-1919"
"1917","1915-1919"
"1918","1915-1919"
"1919","1915-1919"
"1920","1920-1924"
"1921","1920-1924"
"1922","1920-1924"
"1923","1920-1924"
"1924","1920-1924"
"1925","1925-1929"
"1926","1925-1929"
"1927","1925-1929"
"1928","1925-1929"
"1929","1925-1929"
"1930","1930-1934"
"1931","1930-1934"
"1932","1930-1934"
"1933","1930-1934"
"1934","1930-1934"
"1935","1935-1939"
"1936","1935-1939"
"1937","1935-1939"
"1938","1935-1939"
"1939","1935-1939"
"1940","1940-1944"
"1941","1940-1944"
"1942","1940-1944"
"1943","1940-1944"
"1944","1940-1944"
"1945","1945-1949"
"1946","1945-1949"
"1947","1945-1949"
"1948","1945-1949"
"1949","1945-1949"
"1950","1950-1954"
"1951","1950-1954"
"1952","1950-1954"
"1953","1950-1954"
"1954","1950-1954"
"1955","1955-1959"
"1956","1955-1959"
"1957","1955-1959"
"1958","1955-1959"
"1959","1955-1959"
"1960","1960-1964"
"1961","1960-1964"
"1962","1960-1964"
"1963","1960-1964"
"1964","1960-1964"
"1965","1965-1969"
"1966","1965-1969"
"1967","1965-1969"
"1968","1965-1969"
"1969","1965-1969"
"1970","1970-1974"
"1971","1970-1974"
"1972","1970-1974"
"1973","1970-1974"
"1974","1970-1974"
"1975","1975-1979"
"1976","1975-1979"
"1977","1975-1979"
"1978","1975-1979"
"1979","1975-1979"
"1980","1980-1984"
"1981","1980-1984"
"1982","1980-1984"
"1983","1980-1984"
"1984","1980-1984"
"1985","1985-1989"
"1986","1985-1989"
"1987","1985-1989"
"1988","1985-1989"
"1989","1985-1989"
"1990","1990-1994"
"1991","1990-1994"
"1992","1990-1994"
"1993","1990-1994"
"1994","1990-1994"
"1995","1995-1999"
"1996","1995-1999"
"1997","1995-1999"
"1998","1995-1999"
"1999","1995-1999"
"2000","2000-2004"
"2001","2000-2004"
"2002","2000-2004"
"2003","2000-2004"
"2004","2000-2004"
"2005","2005-2009"
"2006","2005-2009"
"2007","2005-2009"
"2008","2005-2009"
"2009","2005-2009"
"2010","2010-2014"
"2011","2010-2014"
"2012","2010-2014"
"2013","2010-2014"
